name,street,city,province,country,address_dump,postal_code,phone,hours,link,products,products_grown,products_pick
Chappell Farms,617 Penetanguishene Rd.,Barrie,Ontario,Canada,"",L4M 4Y8,705-721-1547,Call for hours,http://www.chappellfarms.ca,"pumpkins, vegetables",Maze,""
Thames River Melons Ltd.,765875 Township Road 5 RR 2,Innerkip,Ontario,Canada,"",N0J 1M0,519-469-3636,June 15 - Oct 31: 8 am - 6 pm,"","asparagus, blueberries, cucumbers, onions, potatoes, pumpkins, raspberries, squash, strawberries, zucchini","asparagus, blueberries, cucumbers, onions, potatoes, pumpkins, raspberries, squash, strawberries, zucchini","blueberries, raspberries, strawberries"
Chudleigh's Apple Farm,9528 Regional Road #25,Milton,Ontario,Canada,"",L9T 2X7,905-878-2725,July 1st - Oct 31st Every Day- 7 days 10 - 5; Closed Nov. 1 - June 30,http://www.chudleighs.com,"apples, cider","apples, pumpkins","apples, pumpkins"
Shearlea AcresFarm Market,"3826 Hwy 99, RR 2",Lynden,Ontario,Canada,"",L0R 1T0,519-647-2415,Open Daily Year Round: Daily 10am - 6pm,"","beans, beets, broccoli, cabbage, carrots, cauliflower, garlic, gourds, lettuce, peas, perennials, potatoes, pumpkins, raspberries, rhubarb, spinach, squash, tomatoes, zucchini",pumpkins,""
T & K Ferri Orchards,496415 Grey Rd. 2,Clarksburg,Ontario,Canada,"",N0H 1J0,647-627-8147,"Open from September to late November, Thursday to Sunday from 9:00 to 5:00",http://www.tkferriorchards.com,apples,apples,""
Leisure Farms,744 Quesnel Rd,Sturgeon Falls,Ontario,Canada,"",P2B 2W3,705-753-0109,Call for hours & conditions,http://www.leisurefarms.ca,"preserves, strawberries","corn, pumpkins, raspberries, strawberries","corn, pumpkins, raspberries, strawberries"
Parkside Farms,519 Parkside Dr.,Waterdown,Ontario,Canada,"",L0R 2H1,905-689-4829,end of July - Oct 31; Daily 10 am - 6 pm,"",pumpkins,pumpkins,vegetables
Harvest Barn of Niagara,1822 Niagara Stone Rd.,Niagara-on-the-Lake,Ontario,Canada,"",L0S 1J0,905-468-3224,Open Daily Year Round,http://www.harvestbarn.ca,vegetables,"",""
Downey's Farm Market,"13682 Heart Lake Rd,",Caledon,Ontario,Canada,"",L7C 2J5,905-838-2990,"Apr 30 - Dec 24, open daily from 8 am - 6 pm;",http://www.downeysfarm.com,"asparagus, pumpkins, raspberries, strawberries","apples, pumpkins, raspberries, strawberries",Maze
Ego's Farm Market & Greenhouse,"596 Horseshoe Valley Rd.E, RR 4",Coldwater,Ontario,Canada,"",L0K 1E0,705-326-9922,Daily 9 am - 6 pm; Strawberries: 8 am - 8 pm,http://www.egosgardencentre.com,"herbs, perennials","beans, peas, pumpkins, raspberries, strawberries, tomatoes","beans, peas, pumpkins, raspberries, strawberries, tomatoes"
Ferguson Produce,"11026 Wellington Rd., RR 6",St. Thomas,Ontario,Canada,"",N5P 3T1,"","","","pumpkins, raspberries, strawberries","pumpkins, strawberries","pumpkins, strawberries"
Millers' Farm and Market,6158 Rideau Valley Drive,Manotick,Ontario,Canada,"",K4M 1B3,613-692-2607 or 2380,daily July to the end of October: 9am - 6 pm; weekends: close at 5pm,http://www.millersfarmandmarket.ca,"apples, pumpkins, raspberries, squash","pumpkins, raspberries","currants, gooseberries, pumpkins, raspberries"
Morrison Berries Country Market,"Hwy 86, RR 1",Lucknow,Ontario,Canada,"",N0G 2H0,519-528-2765,Mon - Fri 8 am - 7 pm; Sat 8 am - 5 pm; Sunday 12pm -5pm depending on the season,http://www.morrisonberries.com,"pumpkins, strawberries","pumpkins, raspberries, strawberries","pumpkins, raspberries, strawberries"
Valleyview Little Animal Farm,"4750 Fallowfield Rd.,",Nepean,Ontario,Canada,"",K2J 4S4,"","",http://www.valleyviewlittleanimalfarm.com,"corn, pumpkins","corn, pumpkins",Maze
Apple Land Station,329 Richmond St.,Thorndale,Ontario,Canada,"",N0M 2P0,519-268-7794,"Labour Day - Christmas: Daily. Jan - Jun: Mon,Thurs,Fri,Sat: 9-5",http://www.applelandstation.com,"apples, peaches, pumpkins, strawberries","apples, gourds, peaches, pumpkins, strawberries","apples, pumpkins, strawberries"
Nauman's Farm,3250 Hessen Strasse,St. Clements,Ontario,Canada,"",N0B 2M0,519-699-5524,July - Oct: Mon - Fri: 9 am - 6 pm; Sat - Sun: 9 am - 5 pm,http://www.naumanfarm.ca,"gourds, honey, pies, preserves, pumpkins, raspberries, rhubarb, squash, strawberries","pumpkins, raspberries, rhubarb, squash, strawberries","pumpkins, raspberries, strawberries"
Bayfield Berry Farm,"77697 Orchard Line, RR 1",Bayfield,Ontario,Canada,"",N0M 1G0,"","",http://www.bayfieldberryfarm.on.ca,preserves,"raspberries, strawberries",""
Nith Valley Apiaries,1041 Christner Road,New Hamburg,Ontario,Canada,"",N3A 3K7,519-662-3165,"Open Monday to Friday 9-5, Saturday 9 to noon, closed Sundays.","","eggs, honey",honey,""
Vito's Fresh Fruit,"950 Creek Rd., RR 4",Niagara-on-the-Lake,Ontario,Canada,"",L0S 1J0,"","","","peaches, plums","",""
Parks Blueberries,"14815 Longwoods Rd. N., RR 3",Bothwell,Ontario,Canada,"",N0P 1C0,519-692-3210,May 1 - Dec 24. Daily 10 am - 6 pm,http://www.parksblueberries.com,blueberries,blueberries,Maze
Brantwood Farm,251 Powerline Rd.,Brantford,Ontario,Canada,"",N3T 5L8,519-759-4383,Mon-Sat; 9 am - 7:00 pm; Sun: 10 am - 6 pm,http://www.brantwoodfarms.com,vegetables,"apples, asparagus, beans, peas, pumpkins, raspberries, strawberries, tomatoes","apples, beans, pumpkins, raspberries, strawberries, tomatoes"
The Cider Keg,"1398 Vittoria Rd., RR 1",Vittoria,Ontario,Canada,"",N0E 1W0,"","",http://www.ciderkeg.com,"pumpkins, strawberries, tomatoes","pumpkins, strawberries, tomatoes","pumpkins, strawberries, tomatoes"
Pingle's Farm Market,"1805 Taunton Rd. E., RR 1",Hampton,Ontario,Canada,"",L0B 1J0,"","",http://www.pinglesfarmmarket.com,pies,"apples, pumpkins, raspberries, strawberries","apples, pumpkins, raspberries, strawberries"
Proulx Sugarbush & Berry Farm,1865 O'Toole Rd.,Ottawa,Ontario,Canada,"",K4C 1N2,613-833-2417,March 1st to Oct. 31st. Call for hours.,http://www.proulxberryfarm.com,"beans, beets, blueberries, broccoli, carrots, cauliflower, corn, cucumbers, onions, peppers, pumpkins, raspberries, rhubarb, squash, strawberries","beans, beets, blueberries, broccoli, carrots, cauliflower, corn, cucumbers, onions, peppers, pumpkins, raspberries, rhubarb, squash, strawberries, tomatoes","pumpkins, raspberries, squash, strawberries"
Puddicombe Farms,1468 #8 Hwy.,Winona,Ontario,Canada,"",L8E 5K9,905-643-1015,"Winery: Mon-Fri: 9-5; Sat & Sun 10-4; (January - April). Open 7 days a week May - December,9-5. Market: May 1 -June & Nov. -Dec: Wed-Sunday: 9-5; July-October: daily 9-5",http://www.puddicombefarms.com,"cherries, peaches","apples, blueberries, grapes, nectarines, peaches, pears, plums, pumpkins, raspberries","apples, pears, pumpkins"
McCully's Hill Farm Market,"4074 Perth Line 9, RR 2",St. Mary's,Ontario,Canada,"",N4X 1C5,519-284-2564,Seasonal: April - June daily 9-5; July-Aug daily 9-6; Sept- Dec daily 9-5; Jan-Mar Wed-Sun 9-5,http://www.mccullys.ca,"","",""
Silver Creek Nursery,2343 Gerber Rd.,Wellesley,Ontario,Canada,"",N0B 2T0,519-804-6060,from April 8th to May - Thursday to Saturday. June to November - Saturday only. Open from 10am to 5pm,http://www.silvercreeknursery.ca,"","",""
Comolea Farms,115026 27-28 Sideroad,Grand Valley,Ontario,Canada,"",L9W 0L3,519-928-2218,Open year round but please call before you come.,http://www.comoleafarms.com,"","",""
Richmond Nursery Berry Farm,5740 Richmond Rd.,Nepean,Ontario,Canada,"",K0A 2Z0,613-838-2282,June - July Dawn-dusk,http://www.richmondnursery.com,"perennials, pumpkins",strawberries,"raspberries, strawberries"
Pine Farms Orchard,2700 16th Sideroad,King City,Ontario,Canada,"",L7B 1A3,905-833-5459,Open Tuesday - Sunday 9:30 to 5:00pm. Open Holiday Mondays,http://www.pinefarmsorchard.com,"apples, cider, preserves, pumpkins","apples, pears, plums, pumpkins, raspberries, squash","apples, pumpkins, raspberries"
Valley Farm Market,"2457 County Rd. 92, RR 2",Elmvale,Ontario,Canada,"",L0L 1P0,705-322-4493,"Summer: 7 days a week, 9 a.m. to 6 p.m. Winter: Wed.-Sat. 9 a.m.to 6pm. Winter: Tues. - Sat. 9 a.m. to 6 p.m.",http://www.valleyfarmmarket.ca,"beans, eggs, nectarines, peaches, peas, plums, pumpkins, raspberries, squash, strawberries, tomatoes","beans, peas, pumpkins, raspberries, squash, strawberries","raspberries, strawberries"
Saunders Farm,"7893 Bleeks Rd., PO Box 356",Munster,Ontario,Canada,"",K0A 1B0,613-838-5440,June through October 31. Call for hours,http://www.saundersfarm.com,pumpkins,pumpkins,pumpkins
"""R"" Farm",3388 Concession 3,Newcastle,Ontario,Canada,"",L1B 1L9,905-987-5090,"Open 12 months, 9am to 6pm daily",http://www.rfarmfresh.ca,"eggs, honey",pumpkins,Maze
Cricklewood Farm,"27 Grandview Rd., RR 4",Brighton,Ontario,Canada,"",K0K 1H0,613-475-4293,"• Maze opens Saturday, August 3rd to November 4th 9:30 to 4:30, Sunday to Friday, 9:30 to 6:00 Saturday. • Market-July hours-2nd week in July for raspberries 8:30 to 1:00 Monday to Saturday Aug 3rd to November 10th -open 9:30 to 5:30 Sunday to Friday, 9:30 to 6:00 Saturdays",http://www.cricklewood.ca,"apples, cider, honey, pumpkins, raspberries, squash, tomatoes","apples, pumpkins, squash, tomatoes","apples, pumpkins, raspberries"
Twinkle Berry Farms,8900 Main St.,P.O. Box 1448,"","",P.O. Box 1448,"Uxbridge,  
		Ontario,  
		Canada","","","","apples, beans, beets, blueberries, broccoli, carrots, cauliflower, cucumbers, onions, peaches, pears, peas, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","cauliflower, pumpkins, strawberries",strawberries
Koteles Farms Limited,164700 New Road,Tillsonburg,Ontario,Canada,"",N4G 4G7,519-842-5425,8am to 5pm,"",asparagus,asparagus,""
Smith's Apples & Farm Market,"470 The River Rd., RR 3",Port Elgin,Ontario,Canada,"",N0H 2C7,519-832-2971,Late Aug. - Late October Daily: 10 am - 5:30 pm,http://www.smithsapples.com,"apples, carrots, honey, preserves, pumpkins, squash",apples,apples
Wilmot Orchards Inc.,"3337 Concession Rd. 3, RR 8",Newcastle,Ontario,Canada,"",L1B 1L9,"","",http://www.wilmotblueberries.com,"blueberries, preserves",blueberries,blueberries
Strom's Farm & Bakery Inc.,5089 Wellington Rd. #32,Guelph,Ontario,Canada,"",N1H 6J4,519-822-1070,9:30-6 daily when in season,http://www.strom.ca,"baked goods, cider, corn, jam/jellies, onions, pies, potatoes, pumpkins, squash, tomatoes","corn, pumpkins",pumpkins
Stroud Farms,4075 Lakeridge Rd.,Whitby,Ontario,Canada,"",L1Z 1T3,905-666-5344,Open from July to December. Daily from 9am to 7pm,http://www.stroudfarms.ca,"apples, beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, corn, cucumbers, eggplant, onions, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","apples, beans, broccoli, cabbage, cauliflower, corn, cucumbers, eggplant, pears, peas, peppers, pumpkins, raspberries, squash, tomatoes",""
Bowman's Berry Patch,211259 Garden Rd.,Thornloe,Ontario,Canada,"",P0J 1S0,705-563-8444,"","",strawberries,strawberries,""
Acorn Creek Garden Farm & Market,"928 Oak Creek Rd., RR 3",Carp,Ontario,Canada,"",K0A 1L0,613-831-2373,"May1 - November 30 - 8:00 to 8:00. Call for conditions, other times call ahead. Directions: Hyw.# 417 to Carp Rd. Exit 144, go north to Richardson Side Rd. and go right to Oak Creek Rd. and go left to 928 Oak Creek Rd. or follow the signs to Acorn Creek Garden Farm.",http://www.acorncreek.com,strawberries,"asparagus, beans, beets, broccoli, cauliflower, gooseberries, raspberries, rhubarb","potatoes, pumpkins, raspberries, strawberries"
Waterhall Farm,1413 Brock Rd. RR #4,Dundas,Ontario,Canada,"",L9H 5E4,905-659-0958,"Seasonal Vegetables: Friday to Sunday 9am to 5pm gate sales, self serve or by appointment. Antique Shop: Saturday and Sunday 10am to 5pm.",http://www.waterhallfarm.com,"beans, beets, broccoli, cabbage, carrots, cauliflower, cucumbers, currants, eggplant, garlic, gooseberries, lettuce, melons, onions, peas, peppers, potatoes, pumpkins, raspberries, rhubarb, squash, strawberries, tomatoes","beans, beets, broccoli, cabbage, carrots, cauliflower, cucumbers, currants, eggplant, gooseberries, lettuce, onions, peas, peppers, potatoes, pumpkins, raspberries, squash, strawberries, tomatoes",""
Thiessen Farms,4132 15th St.,Jordan Station,Ontario,Canada,"",L0R 1S0,905-562-4372,July-Sept. Closed Sundays,"","blackberries, raspberries","blackberries, raspberries",""
Tiveron Farms Ltd./ The Apple Market,2281 Camilla Rd.,Mississauga,Ontario,Canada,"",L5A 2K2,"","","","","",""
Nicholyn Farms,"3088 Horseshoe Valley Rd. W., RR 2",Barrie,ON,Ontario,"",L0L 2K0,705-737-4498,Year Round. Mon - Sat: 9am - 6pm; Sun: 10am - 5pm,http://www.nicholyn.com,"beans, beef, beets, carrots, eggs, garlic, giftware, herbs, honey, lamb, lettuce, onions, peas, peppers, pies, pork, potatoes, pumpkins, rabbit, squash, tomatoes","beans, beets, carrots, garlic, herbs, lettuce, onions, peas, peppers, potatoes, pumpkins, squash, tomatoes",""
Algoma Orchards Ltd.,201 Regional Rd. 42,Newcastle,Ontario,Canada,"",L1B 1L9,905-987-4961,Year round: Mon-Sun: 8am to 6pm,http://www.algomaorchards.com,"apples, pies, preserves","apples, raspberries","apples, raspberries, strawberries"
Murphy's Country Produce,2040 Guyatt Road,Binbrook,Ontario,Canada,"",L0R 1C0,905-692-5733,"Open from June 15th to Oct 30th, Monday to Friday: 7:30am to 8:00pm, Saturday & Sunday 7:30pm to 5:00pm",http://www.murphyscountryproduce.com,"apples, beans, blueberries, cherries, corn, cucumbers, eggplant, onions, peaches, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","beans, corn, cucumbers, eggplant, peas, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","beans, cucumbers, eggplant, peas, peppers, pumpkins, raspberries, squash, strawberries, tomatoes"
Watson Farms Ltd.,2287 HIghway #2,Bowmanville,Ontario,Canada,"",L1C 3K3,905-623-9109,"Monday to Friday 9am to 8pm, Saturday and Sunday 9am to 6pm.",http://www.watsonfarms.ca,"apples, beans, peas, pumpkins, squash","apples, beans, peas, pumpkins, raspberries, rhubarb, strawberries","apples, beans, peas, pumpkins, raspberries, rhubarb, strawberries"
Empire Valley Farm Market,"27983 Talbot Line, RR 1",Wallacetown,Ontario,Canada,"",N0L 2M0,519-762-3504,May to Oct. Mon-Fri: 10-6; Sat: 10-5; Sun: 12-5,http://www.empirevalleyfarms.com,"gourds, perennials","peppers, tomatoes","peppers, tomatoes"
Whittamore's Farm,8100 Steeles Ave. E.,Markham,Ontario,Canada,"",L6B 1A8,905-294-3275,"May - Oct: Open daily, call 905-294-3275 for hours of operation.",http://www.whittamoresfarm.com,"asparagus, cheese, cider, giftware, gourds, honey, maple syrup/products, preserves, pumpkins, rhubarb, squash","beans, beets, broccoli, cabbage, cauliflower, corn, cucumbers, eggplant, melons, peas, peppers, potatoes, pumpkins, raspberries, strawberries, tomatoes","beans, beets, broccoli, cucumbers, eggplant, melons, peas, peppers, potatoes, raspberries, strawberries, tomatoes"
Whitty Farms,1776 Fourth Ave.,St. Catharines,Ontario,Canada,"",L2R 6P9,"","",http://www.13thstreetwinery.com/bakery_marketplace/category/whitty_farms,"apricots, blueberries, currants, grapes, melons, nectarines, peaches, raspberries, strawberries, tomatoes","apricots, currants, flowers, melons, peaches, raspberries, strawberries, vegetables",""
Willis Family Fruit Farm,6063 Fifth Line,Milton,Ontario,Canada,"",L9T 2X8,905-876-2606,Sat & Sun 10am to 4:30pm,http://www.willisfarm.com,apples,"apples, pumpkins",Maze
Spirit Tree Estate Cidery,1137 Boston Mills Rd.,Caledon,Ontario,Canada,"",L7C 0N1,905-838-2530,"Hours - Wednesday, Thursday & Sunday - 10am to 5pm, Friday & Saturday - 10am to 8pm. Closed Wednesdays from Jan-May.",http://www.spirittreecider.com/,apples,apples,""
Zekveld's Garden Market,"4622 London Line, RR 1",Wyoming,Ontario,Canada,"",N0N 1T0,519-845-3482,9 months: Fall & Spring 9 - 6 pm; summer: 8 am - 8 pm. Monday to Saturday. Closed Sundays.,http://www.zekveldsgardenmarket.ca,"apples, beans, broccoli, cabbage, cherries, corn, cucumbers, peaches, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","apples, beans, broccoli, cabbage, cherries, corn, cucumbers, peaches, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","apples, beans, cherries, pears, peas, peppers, pumpkins, raspberries, strawberries, tomatoes"
Jack's Produce,35 Agincourt Cres.,St. Catharines,Ontario,Canada,"",L2S 4B4,"","","","","",""
Sahota Farms,14392 Torbram Rd.,Caledon East,Ontario,Canada,"",L0N 1E0,"","","","","",""
Korny Korners Farm,6193 Blackwell Sd. Rd.,Sarnia,Ontario,Canada,"",N7T 7H4,519-542-5232,Mid-June to Oct. 31 Mon-Fri 10am-6pm; Sat.9am-6pm; Sun.1pm-5pm,http://www.kornykornersfarm.ca,"apples, beans, blackberries, blueberries, honey, peaches, potatoes, pumpkins, raspberries, strawberries, tomatoes, zucchini","blackberries, gourds, pumpkins, raspberries, strawberries, tomatoes",pumpkins
Elfsong Apiaries,Box 816,Tweed,Ontario,Canada,"",K0K 3J0,"","","","","",""
Strawberry Tyme Farms Inc.,RR 2,Simcoe,Ontario,Canada,"",N3Y 4K1,519-426-3099,"",http://www.strawberrytyme.com,"","",""
Meier Family Organic Farm,191 River Road,Welland,Ontario,Canada,"",L3B 5N8,905-714-9690,winter hours - Saturdays only 10am-4pm. Check our website for summer hours,http://www.zetafarms.com,"honey, preserves",honey,""
Elberta Farms,353 Governors Rd. East,Paris,Ontario,Canada,"",N3L 3E1,"","",http://www.elbertafarms.ca,"apples, cider, honey, pies, preserves, raspberries, strawberries","apples, cherries, cucumbers, currants, peppers, raspberries, strawberries, tomatoes","apples, cherries, cucumbers, currants, peppers, raspberries, strawberries, tomatoes"
Bry-Anne Farms,"471 Foss Rd., RR 5",Fenwick,Ontario,Canada,"",L0S 1C0,"","","","apples, cider, peas, peppers, potatoes, preserves, pumpkins, raspberries, squash, strawberries, tomatoes","raspberries, strawberries, tomatoes","raspberries, strawberries, tomatoes"
Wagon Wheel Produce & Corn Maze,"1371 Charlotteville Rd.7, RR #6",Simcoe,Ontario,Canada,"",N3Y 4K5,519-428-1083,"May - Asparagus; Aug 1st - Oct 31st: CORN MAZE July 28 - Aug Fridays & Saturday 10-10, Sunday 10-8; Sept & Oct Friday 5-10, Saturday 10-10, Sunday 10-8, Holiday Mondays Aug - October 10-8, closed after Halloween.",http://www.wagonwheelproduce.com,"asparagus, gourds, pumpkins, squash",pumpkins,pumpkins
Great Lakes Farms,5111 Union Rd.,Port Stanley,Ontario,Canada,"",N5L 1J2,519-782-3433,"Strawberries: Open daily 7 am - 7 pm Closed Sundays; Peach: Open 8am to 8pm daily, Apples: Open daily in October, weekends 10 am - 5 pm Sept - Nov",http://www.greatlakesfarms.ca,"apples, cider, peaches, strawberries","apples, peaches, pears, pumpkins","apples, pears, pumpkins"
McMaze,17049 Willy Allan Rd. RR 1,St. Andrews West,Ontario,Canada,"",K0C 2A0,"","",http://www.mcmaze.ca,"pumpkins, squash","pumpkins, squash","pumpkins, squash"
Crinklaw Maple Products,4570 Westminister Dr.,London,Ontario,Canada,"",N6L 1M9,519-457-4550,March 1 to Mid-April 10am-4pm (seven days a week); Other times of the year call ahead fro hours or check out the latest information on our website,http://www.crinklawmaplesyrup.com,"","",""
Neubrand Country Produce,"RR 2, 6584 Line 49",Monkton,Ontario,Canada,"",N0K 1P0,"","","","","",""
Cooper's CSA Farm & Maze,266 Ashworth Rd.,Zephyr,Ontario,Canada,"",L0E 1T0,905-830-4521,"Open mid-June to Oct.31, Wed. to Sun. 10am to 7pm.",http://www.coopersfarm.ca,"beans, beets, carrots, corn, cucumbers, eggplant, melons, onions, peas, peppers, potatoes, preserves, pumpkins, squash, strawberries, tomatoes","beans, beets, carrots, corn, cucumbers, eggplant, melons, onions, peas, peppers, potatoes, pumpkins, squash, strawberries, tomatoes",Maze
Farintosh Farms,11858 Warden Ave.,Gormley,Ontario,Canada,"",L0H 1G0,"","",http://www.farintosh.com,"apples, blueberries, carrots, cherries, onions, peaches, peppers, plums, pumpkins, squash, tomatoes","beans, broccoli, cabbage, carrots, cauliflower, corn, cucumbers, eggplant, peppers, pumpkins, squash, tomatoes","beans, broccoli, cabbage, cauliflower, corn, cucumbers, eggplant, peppers, pumpkins, squash, tomatoes"
Josmar Acres,568 Lynden Rd.,Lynden,Ontario,Canada,"",L0R 1T0,519-647-2025,Open Year Round except for Sundays 8 a.m. to 6 p.m.,http://www.josmaracres.com,"apples, asparagus, beans, blueberries, corn, cucumbers, flowers, onions, peaches, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","apples, corn, cucumbers, flowers, peaches, pears, peppers, plums, pumpkins, raspberries, strawberries, tomatoes","peppers, raspberries, strawberries, tomatoes"
Giffen's Country Market,55 Station St.,Glen Huron,Ontario,Canada,"",L0M 1L0,"","","","apples, beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, corn, cucumbers, flowers, grapes, onions, peaches, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","apples, cherries, corn, cucumbers, peas, pumpkins, tomatoes",apples
Barbetta Orchards Ltd.,RR#3,Meaford,Ontario,Canada,"",N4L 0A7,"","","","apples, cherries, honey, peaches, pears, plums, pumpkins, raspberries, squash, strawberries","apples, cherries, peaches, pears, plums, pumpkins, raspberries, squash, strawberries","raspberries, strawberries"
Avonmore Berry Farm Inc.,16365 4 Rd,Avonmore,Ontario,Canada,"",K0C 1C0,"","",http://www.avonmoreberryfarm.com,"apples, beans, corn, cucumbers, pumpkins, raspberries, strawberries","apples, beans, corn, cucumbers, pumpkins, raspberries, strawberries","apples, pumpkins, raspberries, strawberries"
Stanleys Olde Maple Lane Farm,2452 Yorks Corners Rd.,Edwards,Ontario,Canada,"",K0A 1V0,"","",http://www.stanleysfarm.com,Maze,"",""
Your Farm Market (YFM),1147 Dundas St. E.,Woodstock,Ontario,Canada,"",N4S 8W3,519-535-2569,June 1 to October 31: 8 am to 6 pm,"","apples, beans, corn, melons",corn,""
Richardson's Corn Maze & Farm Market,"131 River Rd., RR #4",Dunnville,Ontario,Canada,"",N1A 2W3,"","",http://www.RichardsonsFarm.com,"corn, peas, preserves, pumpkins, raspberries, squash, strawberries, tomatoes","corn, peas, pumpkins, raspberries, squash, strawberries, tomatoes","pumpkins, raspberries, squash, strawberries, tomatoes"
Wheelbarrow Orchards/Harvest Goodies,"8277 10th Sideroad, RR #3",Halton Hills/Milton,Ontario,Canada,"",L9T 2X7,905-878-6216,Open 10-4 weekdays in December,http://www.harvestgoodies.com,apples,apples,""
Mapleton's Organic Dairy Inc.,8548 Wellington Rd. #7,Teviotdale,Ontario,Canada,"",N0G 2K0,519-638-1115,Tuesday through Saturday 11am to 5pm.,http://www.mapletonsorganic.ca,Maze,"",""
