name,postal_code,phone,hours,link,products,products_grown,products_pick,formatted_address,street_number,route,locality,administrative_area_level_2,administrative_area_level_1,country,lat,lng
Brooks Farms,L0G 1M0,905-473-3920,Call for hours,http://www.brooksfarms.com,"raspberries, strawberries","asparagus, pumpkins, squash, strawberries","apples, peas, pumpkins, raspberries, strawberries","122 Ashworth Rd, Mount Albert, ON L0G 1M0, Canada",122,Ashworth Road,Mount Albert,,Ontario,Canada,44.13761,-79.2872152
Burnham Family Farm Market,,905-373-4578,June 1 - Dec 23: 9 am - 6 pm,http://www.burnhamfamilyfarmmarket.ca,"pies, vegetables","apples, raspberries, strawberries","apples, raspberries, strawberries","7760 County 2 Rd, Cobourg, ON K9A 4J7, Canada",7760,County 2 Road,Cobourg,Northumberland County,Ontario,Canada,43.9665341,-78.2216335
Campbell's Orchard,K0K 1L0,613-962-3751,"Summer & Fall : Open 7 days/week from mid June until Christmas, 9am til 5:30pm. We close at 5:00 pm in November. Winter & Spring : January til mid June: Open Thursday until Saturday 9am til 5pm, Sunday‰Û¡ÌÝå»s we open at 10:00am., and closed Monday, Tuesday, Wednesday.",http://www.campbellsorchards.com,"eggs, fudge, pears, raspberries, strawberries","apples, beans, cabbage, cauliflower, corn, cucumbers, melons, onions, pears, peas, peppers, pumpkins, raspberries, rutabaga, squash, strawberries, tomatoes","apples, beans, peas, pumpkins, strawberries, tomatoes","1633 County Rd 3, Carrying Place, ON K0K 1L0, Canada",1633,County Road 3,Carrying Place,Prince Edward County,Ontario,Canada,44.1106806,-77.4706233
Lakeshore Farms,K0K 3L0,613-399-3152,April - December: Daily 8 am - 6 pm,,"potatoes, pumpkins, strawberries, tomatoes, vegetables","pumpkins, strawberries, tomatoes","pumpkins, strawberries, tomatoes","475 Main St, Wellington, ON K0K 3L0, Canada",475,Main Street,,Lennox and Addington County,Ontario,Canada,44.3266668,-76.8780293
Chappell Farms,L4M 4Y8,705-721-1547,Call for hours,http://www.chappellfarms.ca,"pumpkins, vegetables",Maze,,"617 Penetanguishene Rd, Barrie, ON L4M 4Y8, Canada",617,Penetanguishene Road,Barrie,Simcoe County,Ontario,Canada,44.4369685,-79.6446231
Thames River Melons Ltd.,N0J 1M0,519-469-3636,June 15 - Oct 31: 8 am - 6 pm,,"asparagus, blueberries, cucumbers, onions, potatoes, pumpkins, raspberries, squash, strawberries, zucchini","asparagus, blueberries, cucumbers, onions, potatoes, pumpkins, raspberries, squash, strawberries, zucchini","blueberries, raspberries, strawberries","765875 Township Rd 5, Innerkip, ON N0J 1M0, Canada",765875,Township Road 5,Innerkip,Oxford County,Ontario,Canada,43.1911267,-80.684551
Chudleigh's Apple Farm,L9T 2X7,905-878-2725,July 1st - Oct 31st Every Day- 7 days 10 - 5; Closed Nov. 1 - June 30,http://www.chudleighs.com,"apples, cider","apples, pumpkins","apples, pumpkins","9528 Halton Regional Rd 25, Milton, ON L9T 2X7, Canada",9528,Highway 25,Milton,Halton Regional Municipality,Ontario,Canada,43.5491097,-79.9379394
Shearlea AcresFarm Market,L0R 1T0,519-647-2415,Open Daily Year Round: Daily 10am - 6pm,,"beans, beets, broccoli, cabbage, carrots, cauliflower, garlic, gourds, lettuce, peas, perennials, potatoes, pumpkins, raspberries, rhubarb, spinach, squash, tomatoes, zucchini",pumpkins,,"Lynden, Hamilton, ON L0R, Canada",,,Hamilton,Hamilton Division,Ontario,Canada,43.2296989,-80.144761
T & K Ferri Orchards,N0H 1J0,647-627-8147,"Open from September to late November, Thursday to Sunday from 9:00 to 5:00",http://www.tkferriorchards.com,apples,apples,,"496415 Grey County Rd 2, Clarksburg, ON N0H 1J0, Canada",496415,Grey County Road 2,The Blue Mountains,Grey County,Ontario,Canada,44.5037466,-80.4251936
Leisure Farms,P2B 2W3,705-753-0109,Call for hours & conditions,http://www.leisurefarms.ca,"preserves, strawberries","corn, pumpkins, raspberries, strawberries","corn, pumpkins, raspberries, strawberries","744 Quesnel Rd, Sturgeon Falls, ON P2B 2W2, Canada",744,Quesnel Road,West Nipissing,Nipissing District,Ontario,Canada,46.34678,-79.9614402
Parkside Farms,L0R 2H1,905-689-4829,end of July - Oct 31; Daily 10 am - 6 pm,,pumpkins,pumpkins,vegetables,"519 Parkside Dr, Waterdown, ON L0R 2H1, Canada",519,Parkside Drive,Hamilton,Hamilton Division,Ontario,Canada,43.3531697,-79.8827524
Harvest Barn of Niagara,L0S 1J0,905-468-3224,Open Daily Year Round,http://www.harvestbarn.ca,vegetables,,,"1822 Niagara Stone Rd, Niagara-on-the-Lake, ON L0S 1J0, Canada",1822,Niagara Stone Road,Niagara-on-the-Lake,Niagara Regional Municipality,Ontario,Canada,43.2331166,-79.1105253
Downey's Farm Market,L7C 2J5,905-838-2990,"Apr 30 - Dec 24, open daily from 8 am - 6 pm;",http://www.downeysfarm.com,"asparagus, pumpkins, raspberries, strawberries","apples, pumpkins, raspberries, strawberries",Maze,"13682 Heart Lake Rd, Brampton, ON L6Z 0A1, Canada",13682,Heart Lake Road,Brampton,Peel Regional Municipality,Ontario,Canada,43.7857046,-79.8490209
Ego's Farm Market & Greenhouse,L0K 1E0,705-326-9922,Daily 9 am - 6 pm; Strawberries: 8 am - 8 pm,http://www.egosgardencentre.com,"herbs, perennials","beans, peas, pumpkins, raspberries, strawberries, tomatoes","beans, peas, pumpkins, raspberries, strawberries, tomatoes","596 Horseshoe Valley Rd E, Coldwater, ON L0K 1E0, Canada",596,Horseshoe Valley Road East,Coldwater,Simcoe County,Ontario,Canada,44.5906925,-79.5825593
Ferguson Produce,N5P 3T1,,,,"pumpkins, raspberries, strawberries","pumpkins, strawberries","pumpkins, strawberries","11026 Wellington Rd, St. Thomas, ON N5P 3T1, Canada",11026,Wellington Road,Saint Thomas,Elgin County,Ontario,Canada,42.8145581,-81.2093208
Millers' Farm and Market,K4M 1B3,613-692-2607 or 2380,daily July to the end of October: 9am - 6 pm; weekends: close at 5pm,http://www.millersfarmandmarket.ca,"apples, pumpkins, raspberries, squash","pumpkins, raspberries","currants, gooseberries, pumpkins, raspberries","6158 Rideau Valley Dr N, Manotick, ON K4M 1B3, Canada",6158,Rideau Valley Drive North,Ottawa,Ottawa Division,Ontario,Canada,45.1907609,-75.6526819
Morrison Berries Country Market,N0G 2H0,519-528-2765,Mon - Fri 8 am - 7 pm; Sat 8 am - 5 pm; Sunday 12pm -5pm depending on the season,http://www.morrisonberries.com,"pumpkins, strawberries","pumpkins, raspberries, strawberries","pumpkins, raspberries, strawberries","Campbell St, Lucknow, ON N0G 2H0, Canada",,Campbell Street,Lucknow,,Ontario,Canada,43.9604336,-81.5140608
Valleyview Little Animal Farm,K2J 4S4,,,http://www.valleyviewlittleanimalfarm.com,"corn, pumpkins","corn, pumpkins",Maze,"4750 Fallowfield Rd, Nepean, ON K2J 4S4, Canada",4750,Fallowfield Road,Ottawa,Ottawa Division,Ontario,Canada,45.266505,-75.80978
Apple Land Station,N0M 2P0,519-268-7794,"Labour Day - Christmas: Daily. Jan - Jun: Mon,Thurs,Fri,Sat: 9-5",http://www.applelandstation.com,"apples, peaches, pumpkins, strawberries","apples, gourds, peaches, pumpkins, strawberries","apples, pumpkins, strawberries","329 Richmond St, Thorndale, ON N0M 2P0, Canada",329,Richmond Street,Thorndale,Middlesex County,Ontario,Canada,43.0221457,-81.0828801
Nauman's Farm,N0B 2M0,519-699-5524,July - Oct: Mon - Fri: 9 am - 6 pm; Sat - Sun: 9 am - 5 pm,http://www.naumanfarm.ca,"gourds, honey, pies, preserves, pumpkins, raspberries, rhubarb, squash, strawberries","pumpkins, raspberries, rhubarb, squash, strawberries","pumpkins, raspberries, strawberries","3250 Hessen Strasse, St. Clements, ON N0B 2M0, Canada",3250,Hessen Strasse,Saint Clements,Waterloo Regional Municipality,Ontario,Canada,43.5033789,-80.6373502
Bayfield Berry Farm,N0M 1G0,,,http://www.bayfieldberryfarm.on.ca,preserves,"raspberries, strawberries",,"77697 Orchard Line, Bayfield, ON N0M 1G0, Canada",77697,Orchard Line,,Huron County,Ontario,Canada,43.6031377,-81.6848649
Nith Valley Apiaries,N3A 3K7,519-662-3165,"Open Monday to Friday 9-5, Saturday 9 to noon, closed Sundays.",,"eggs, honey",honey,,"1041 Christner Rd, New Hamburg, ON N3A 3K7, Canada",1041,Christner Road,New Hamburg,Waterloo Regional Municipality,Ontario,Canada,43.397303,-80.7068773
Vito's Fresh Fruit,L0S 1J0,,,,"peaches, plums",,,"950 Four Mile Creek Rd, Niagara-on-the-Lake, ON L0S 1J0, Canada",950,Four Mile Creek Road,Niagara-on-the-Lake,Niagara Regional Municipality,Ontario,Canada,43.1915942,-79.1075816
Parks Blueberries,N0P 1C0,519-692-3210,May 1 - Dec 24. Daily 10 am - 6 pm,http://www.parksblueberries.com,blueberries,blueberries,Maze,"14815 Longwoods Rd, Bothwell, ON N0P 1C0, Canada",14815,Longwoods Road,Bothwell,Chatham-Kent Division,Ontario,Canada,42.5752068,-81.9101687
Brantwood Farm,N3T 5L8,519-759-4383,Mon-Sat; 9 am - 7:00 pm; Sun: 10 am - 6 pm,http://www.brantwoodfarms.com,vegetables,"apples, asparagus, beans, peas, pumpkins, raspberries, strawberries, tomatoes","apples, beans, pumpkins, raspberries, strawberries, tomatoes","251 Powerline Rd, Brantford, ON N3P, Canada",251,Powerline Road,Brantford,,Ontario,Canada,43.1937487,-80.2325011
The Cider Keg,N0E 1W0,,,http://www.ciderkeg.com,"pumpkins, strawberries, tomatoes","pumpkins, strawberries, tomatoes","pumpkins, strawberries, tomatoes","1398 Vittoria Rd, Saint Williams, ON N0E 1P0, Canada",1398,Vittoria Road,Saint Williams,Norfolk County,Ontario,Canada,42.7531432,-80.3456787
Pingle's Farm Market,L0B 1J0,,,http://www.pinglesfarmmarket.com,pies,"apples, pumpkins, raspberries, strawberries","apples, pumpkins, raspberries, strawberries","1805 Taunton Rd, Hampton, ON L0B 1J0, Canada",1805,Taunton Road,Hampton,Durham Regional Municipality,Ontario,Canada,43.9532645,-78.7901451
Proulx Sugarbush & Berry Farm,K4C 1N2,613-833-2417,March 1st to Oct. 31st. Call for hours.,http://www.proulxberryfarm.com,"beans, beets, blueberries, broccoli, carrots, cauliflower, corn, cucumbers, onions, peppers, pumpkins, raspberries, rhubarb, squash, strawberries","beans, beets, blueberries, broccoli, carrots, cauliflower, corn, cucumbers, onions, peppers, pumpkins, raspberries, rhubarb, squash, strawberries, tomatoes","pumpkins, raspberries, squash, strawberries","1865 O'Toole Rd, Cumberland, ON K4C 1N2, Canada",1865,O'Toole Road,Ottawa,Ottawa Division,Ontario,Canada,45.4846918,-75.4208514
Puddicombe Farms,L8E 5K9,905-643-1015,"Winery: Mon-Fri: 9-5; Sat & Sun 10-4; (January - April). Open 7 days a week May - December,9-5. Market: May 1 -June & Nov. -Dec: Wed-Sunday: 9-5; July-October: daily 9-5",http://www.puddicombefarms.com,"cherries, peaches","apples, blueberries, grapes, nectarines, peaches, pears, plums, pumpkins, raspberries","apples, pears, pumpkins","1468 Hamilton Regional Rd 8, Stoney Creek, ON L8E 5K9, Canada",1468,Highway 8,Hamilton,Hamilton Division,Ontario,Canada,43.2059009,-79.6324919
McCully's Hill Farm Market,N4X 1C5,519-284-2564,Seasonal: April - June daily 9-5; July-Aug daily 9-6; Sept- Dec daily 9-5; Jan-Mar Wed-Sun 9-5,http://www.mccullys.ca,,,,"4074 Line 9, St. Marys, ON N4X 1C5, Canada",4074,Line 9,Saint Marys,Perth County,Ontario,Canada,43.273588,-81.0595116
Silver Creek Nursery,N0B 2T0,519-804-6060,from April 8th to May - Thursday to Saturday. June to November - Saturday only. Open from 10am to 5pm,http://www.silvercreeknursery.ca,,,,"2343 Gerber Rd, Wellesley, ON N0B 2T0, Canada",2343,Gerber Road,Wellesley,Waterloo Regional Municipality,Ontario,Canada,43.4691693,-80.7788167
Comolea Farms,L9W 0L3,519-928-2218,Open year round but please call before you come.,http://www.comoleafarms.com,,,,"115026 Sideroad 27 & 28, Grand Valley, ON L0N 1G0, Canada",115026,Sideroad 27 & 28,Grand Valley,Dufferin County,Ontario,Canada,43.9858738,-80.3604561
Richmond Nursery Berry Farm,K0A 2Z0,613-838-2282,June - July Dawn-dusk,http://www.richmondnursery.com,"perennials, pumpkins",strawberries,"raspberries, strawberries","5740 Old Richmond Rd, Richmond, ON K0A 2Z0, Canada",5740,Old Richmond Road,Ottawa,Ottawa Division,Ontario,Canada,45.260397,-75.8192174
Pine Farms Orchard,L7B 1A3,905-833-5459,Open Tuesday - Sunday 9:30 to 5:00pm. Open Holiday Mondays,http://www.pinefarmsorchard.com,"apples, cider, preserves, pumpkins","apples, pears, plums, pumpkins, raspberries, squash","apples, pumpkins, raspberries","2700 16th Sideroad, King City, ON L7B 1A3, Canada",2700,16th Sideroad,King City,York Regional Municipality,Ontario,Canada,43.9615496,-79.5530963
Valley Farm Market,L0L 1P0,705-322-4493,"Summer: 7 days a week, 9 a.m. to 6 p.m. Winter: Wed.-Sat. 9 a.m.to 6pm. Winter: Tues. - Sat. 9 a.m. to 6 p.m.",http://www.valleyfarmmarket.ca,"beans, eggs, nectarines, peaches, peas, plums, pumpkins, raspberries, squash, strawberries, tomatoes","beans, peas, pumpkins, raspberries, squash, strawberries","raspberries, strawberries","2457 County Rd 92, Elmvale, ON L0L 1P0, Canada",2457,County Road 92,Elmvale,Simcoe County,Ontario,Canada,44.5492085,-79.9440125
Saunders Farm,K0A 1B0,613-838-5440,June through October 31. Call for hours,http://www.saundersfarm.com,pumpkins,pumpkins,pumpkins,"7893 Bleeks Rd, Ottawa, ON, Canada",7893,Bleeks Road,Ottawa,Ottawa Division,Ontario,Canada,45.1619807,-75.948298
"""R"" Farm",L1B 1L9,905-987-5090,"Open 12 months, 9am to 6pm daily",http://www.rfarmfresh.ca,"eggs, honey",pumpkins,Maze,"3388 Concession Rd 3, Newcastle, ON L1B 1L9, Canada",3388,Concession Road 3,Newcastle,Durham Regional Municipality,Ontario,Canada,43.9322097,-78.6105037
Cricklewood Farm,K0K 1H0,613-475-4293,"‰Û¡ÌÝå¢ Maze opens Saturday, August 3rd to November 4th 9:30 to 4:30, Sunday to Friday, 9:30 to 6:00 Saturday. ‰Û¡ÌÝå¢ Market-July hours-2nd week in July for raspberries 8:30 to 1:00 Monday to Saturday Aug 3rd to November 10th -open 9:30 to 5:30 Sunday to Friday, 9:30 to 6:00 Saturdays",http://www.cricklewood.ca,"apples, cider, honey, pumpkins, raspberries, squash, tomatoes","apples, pumpkins, squash, tomatoes","apples, pumpkins, raspberries","27 Grandview Rd, Brighton, ON K0K, Canada",27,Grandview Road,Brighton,Northumberland County,Ontario,Canada,44.0311527,-77.7751333
Twinkle Berry Farms,,,,,"apples, beans, beets, blueberries, broccoli, carrots, cauliflower, cucumbers, onions, peaches, pears, peas, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","cauliflower, pumpkins, strawberries",strawberries,"Main St N, Uxbridge, ON, Canada",,Main Street North,Uxbridge,,Ontario,Canada,44.1177557,-79.1241796
Koteles Farms Limited,N4G 4G7,519-842-5425,8am to 5pm,,asparagus,asparagus,,"164700 New Rd, Tillsonburg, ON N4G 4G7, Canada",164700,New Road,Tillsonburg,Oxford County,Ontario,Canada,42.8847752,-80.7022613
Smith's Apples & Farm Market,N0H 2C7,519-832-2971,Late Aug. - Late October Daily: 10 am - 5:30 pm,http://www.smithsapples.com,"apples, carrots, honey, preserves, pumpkins, squash",apples,apples,"470 The River Rd, Port Elgin, ON N0H 2C7, Canada",470,The River Road,Saugeen Shores,Bruce County,Ontario,Canada,44.4040936,-81.3492349
Wilmot Orchards Inc.,L1B 1L9,,,http://www.wilmotblueberries.com,"blueberries, preserves",blueberries,blueberries,"3337 Concession Rd 3, Newcastle, ON L1B 1L9, Canada",3337,Concession Road 3,Newcastle,Durham Regional Municipality,Ontario,Canada,43.9304414,-78.6151425
Strom's Farm & Bakery Inc.,N1H 6J4,519-822-1070,9:30-6 daily when in season,http://www.strom.ca,"baked goods, cider, corn, jam/jellies, onions, pies, potatoes, pumpkins, squash, tomatoes","corn, pumpkins",pumpkins,"5089 Wellington County Rd 32, Guelph, ON N1H 6J4, Canada",5089,Wellington County Road 32,Guelph,Wellington County,Ontario,Canada,43.4971933,-80.2934197
Stroud Farms,L1Z 1T3,905-666-5344,Open from July to December. Daily from 9am to 7pm,http://www.stroudfarms.ca,"apples, beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, corn, cucumbers, eggplant, onions, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","apples, beans, broccoli, cabbage, cauliflower, corn, cucumbers, eggplant, pears, peas, peppers, pumpkins, raspberries, squash, tomatoes",,"4075 Lake Ridge Rd, Whitby, ON L0B, Canada",4075,Lake Ridge Road,Whitby,Durham Regional Municipality,Ontario,Canada,43.9243694,-79.0094065
Bowman's Berry Patch,P0J 1S0,705-563-8444,,,strawberries,strawberries,,"211259 Garden Rd, Hilliardton, ON P0J 1L0, Canada",211259,Garden Road,Hilliardton,Timiskaming District,Ontario,Canada,47.6910417,-79.7382482
Acorn Creek Garden Farm & Market,K0A 1L0,613-831-2373,"May1 - November 30 - 8:00 to 8:00. Call for conditions, other times call ahead. Directions: Hyw.# 417 to Carp Rd. Exit 144, go north to Richardson Side Rd. and go right to Oak Creek Rd. and go left to 928 Oak Creek Rd. or follow the signs to Acorn Creek Garden Farm.",http://www.acorncreek.com,strawberries,"asparagus, beans, beets, broccoli, cauliflower, gooseberries, raspberries, rhubarb","potatoes, pumpkins, raspberries, strawberries","928 Oak Creek Rd, Carp, ON K0A 1L0, Canada",928,Oak Creek Road,Ottawa,Ottawa Division,Ontario,Canada,45.3147265,-75.9752333
Waterhall Farm,L9H 5E4,905-659-0958,"Seasonal Vegetables: Friday to Sunday 9am to 5pm gate sales, self serve or by appointment. Antique Shop: Saturday and Sunday 10am to 5pm.",http://www.waterhallfarm.com,"beans, beets, broccoli, cabbage, carrots, cauliflower, cucumbers, currants, eggplant, garlic, gooseberries, lettuce, melons, onions, peas, peppers, potatoes, pumpkins, raspberries, rhubarb, squash, strawberries, tomatoes","beans, beets, broccoli, cabbage, carrots, cauliflower, cucumbers, currants, eggplant, gooseberries, lettuce, onions, peas, peppers, potatoes, pumpkins, raspberries, squash, strawberries, tomatoes",,"1413 Brock Rd, Dundas, ON L9H 5E4, Canada",1413,Brock Road,Hamilton,Hamilton Division,Ontario,Canada,43.365405,-80.0286911
Thiessen Farms,L0R 1S0,905-562-4372,July-Sept. Closed Sundays,,"blackberries, raspberries","blackberries, raspberries",,"Jordan Station, ON, Canada",,,Lincoln,Niagara Regional Municipality,Ontario,Canada,43.1617293,-79.3601336
Tiveron Farms Ltd./ The Apple Market,L5A 2K2,,,,,,,"2281 Camilla Rd, Mississauga, ON L5A 2K2, Canada",2281,Camilla Road,Mississauga,Peel Regional Municipality,Ontario,Canada,43.577663,-79.6027906
Nicholyn Farms,L0L 2K0,705-737-4498,Year Round. Mon - Sat: 9am - 6pm; Sun: 10am - 5pm,http://www.nicholyn.com,"beans, beef, beets, carrots, eggs, garlic, giftware, herbs, honey, lamb, lettuce, onions, peas, peppers, pies, pork, potatoes, pumpkins, rabbit, squash, tomatoes","beans, beets, carrots, garlic, herbs, lettuce, onions, peas, peppers, potatoes, pumpkins, squash, tomatoes",,"3088 Horseshoe Valley Rd W, Barrie, ON L4M 4Y8, Canada",3088,Horseshoe Valley Road West,Barrie,Simcoe County,Ontario,Canada,44.5265835,-79.7327709
Algoma Orchards Ltd.,L1B 1L9,905-987-4961,Year round: Mon-Sun: 8am to 6pm,http://www.algomaorchards.com,"apples, pies, preserves","apples, raspberries","apples, raspberries, strawberries","201 Durham Regional Rd 42, Clarington, ON L1B 1L9, Canada",201,Durham Regional Road 42,,Durham Regional Municipality,Ontario,Canada,43.9134668,-78.626507
Murphy's Country Produce,L0R 1C0,905-692-5733,"Open from June 15th to Oct 30th, Monday to Friday: 7:30am to 8:00pm, Saturday & Sunday 7:30pm to 5:00pm",http://www.murphyscountryproduce.com,"apples, beans, blueberries, cherries, corn, cucumbers, eggplant, onions, peaches, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","beans, corn, cucumbers, eggplant, peas, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","beans, cucumbers, eggplant, peas, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","2040 Guyatt Rd, Binbrook, ON L0R 1C0, Canada",2040,Guyatt Road,Hamilton,Hamilton Division,Ontario,Canada,43.133861,-79.7760945
Watson Farms Ltd.,L1C 3K3,905-623-9109,"Monday to Friday 9am to 8pm, Saturday and Sunday 9am to 6pm.",http://www.watsonfarms.ca,"apples, beans, peas, pumpkins, squash","apples, beans, peas, pumpkins, raspberries, rhubarb, strawberries","apples, beans, peas, pumpkins, raspberries, rhubarb, strawberries","2287 Durham Regional Hwy 2, Bowmanville, ON L1C 3K7, Canada",2287,Durham Regional Highway 2,Bowmanville,Durham Regional Municipality,Ontario,Canada,43.9099736,-78.7196639
Empire Valley Farm Market,N0L 2M0,519-762-3504,May to Oct. Mon-Fri: 10-6; Sat: 10-5; Sun: 12-5,http://www.empirevalleyfarms.com,"gourds, perennials","peppers, tomatoes","peppers, tomatoes","27983 Talbot Line, Wallacetown, ON N0L 2M0, Canada",27983,Talbot Line,Wallacetown,Elgin County,Ontario,Canada,42.6071565,-81.4998175
Whittamore's Farm,L6B 1A8,905-294-3275,"May - Oct: Open daily, call 905-294-3275 for hours of operation.",http://www.whittamoresfarm.com,"asparagus, cheese, cider, giftware, gourds, honey, maple syrup/products, preserves, pumpkins, rhubarb, squash","beans, beets, broccoli, cabbage, cauliflower, corn, cucumbers, eggplant, melons, peas, peppers, potatoes, pumpkins, raspberries, strawberries, tomatoes","beans, beets, broccoli, cucumbers, eggplant, melons, peas, peppers, potatoes, raspberries, strawberries, tomatoes","8100 Steeles Ave E, Markham, ON L6B 1A8, Canada",8100,Steeles Avenue East,Markham,York Regional Municipality,Ontario,Canada,43.8533727,-79.1811008
Whitty Farms,L2R 6P9,,,http://www.13thstreetwinery.com/bakery_marketplace/category/whitty_farms,"apricots, blueberries, currants, grapes, melons, nectarines, peaches, raspberries, strawberries, tomatoes","apricots, currants, flowers, melons, peaches, raspberries, strawberries, vegetables",,"1776 Fourth Ave, St. Catharines, ON L2R 6P9, Canada",1776,Fourth Avenue,Saint Catharines,Niagara Regional Municipality,Ontario,Canada,43.1530734,-79.3134165
Willis Family Fruit Farm,L9T 2X8,905-876-2606,Sat & Sun 10am to 4:30pm,http://www.willisfarm.com,apples,"apples, pumpkins",Maze,"6063 5 Line, Milton, ON L9T 2X8, Canada",6063,5 Line,Milton,Halton Regional Municipality,Ontario,Canada,43.5205072,-79.8029674
Spirit Tree Estate Cidery,L7C 0N1,905-838-2530,"Hours - Wednesday, Thursday & Sunday - 10am to 5pm, Friday & Saturday - 10am to 8pm. Closed Wednesdays from Jan-May.",http://www.spirittreecider.com/,apples,apples,,"1137 Boston Mills Rd, Terra Cotta, ON L7C 0N1, Canada",1137,Boston Mills Road,Caledon,Peel Regional Municipality,Ontario,Canada,43.7569092,-79.944801
Zekveld's Garden Market,N0N 1T0,519-845-3482,9 months: Fall & Spring 9 - 6 pm; summer: 8 am - 8 pm. Monday to Saturday. Closed Sundays.,http://www.zekveldsgardenmarket.ca,"apples, beans, broccoli, cabbage, cherries, corn, cucumbers, peaches, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","apples, beans, broccoli, cabbage, cherries, corn, cucumbers, peaches, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","apples, beans, cherries, pears, peas, peppers, pumpkins, raspberries, strawberries, tomatoes","4622 London Line, Wyoming, ON N0N 1T0, Canada",4622,London Line,Plympton-Wyoming,Lambton County,Ontario,Canada,42.9796836,-82.1131657
Jack's Produce,L2S 4B4,,,,,,,"35 Agincourt Crescent, St. Catharines, ON L2S 4B4, Canada",35,Agincourt Crescent,Saint Catharines,Niagara Regional Municipality,Ontario,Canada,43.1353082,-79.2650652
