name,formatted_address,street_number,route,locality,administrative_area_level_2,administrative_area_level_1,country,postal_code_prefix,lat,lng
Ferguson Produce,"11026 Wellington Rd, St. Thomas, ON N5P 3T1, Canada",11026,Wellington Road,Saint Thomas,Elgin County,Ontario,Canada,,42.8145581,-81.2093208
Millers' Farm and Market,"6158 Rideau Valley Dr N, Manotick, ON K4M 1B3, Canada",6158,Rideau Valley Drive North,Ottawa,Ottawa Division,Ontario,Canada,,45.1907609,-75.65268189999999
Morrison Berries Country Market,"Campbell St, Lucknow, ON N0G 2H0, Canada",,Campbell Street,Lucknow,,Ontario,Canada,,43.96043359999999,-81.5140608
Valleyview Little Animal Farm,"4750 Fallowfield Rd, Nepean, ON K2J 4S4, Canada",4750,Fallowfield Road,Ottawa,Ottawa Division,Ontario,Canada,,45.266505,-75.80978
Apple Land Station,"329 Richmond St, Thorndale, ON N0M 2P0, Canada",329,Richmond Street,Thorndale,Middlesex County,Ontario,Canada,,43.0221457,-81.0828801
Nauman's Farm,"3250 Hessen Strasse, St. Clements, ON N0B 2M0, Canada",3250,Hessen Strasse,Saint Clements,Waterloo Regional Municipality,Ontario,Canada,,43.5033789,-80.6373502
Bayfield Berry Farm,"77697 Orchard Line, Bayfield, ON N0M 1G0, Canada",77697,Orchard Line,,Huron County,Ontario,Canada,,43.6031377,-81.6848649
Nith Valley Apiaries,"1041 Christner Rd, New Hamburg, ON N3A 3K7, Canada",1041,Christner Road,New Hamburg,Waterloo Regional Municipality,Ontario,Canada,,43.397303,-80.7068773
Vito's Fresh Fruit,"950 Four Mile Creek Rd, Niagara-on-the-Lake, ON L0S 1J0, Canada",950,Four Mile Creek Road,Niagara-on-the-Lake,Niagara Regional Municipality,Ontario,Canada,,43.1915942,-79.1075816
Parks Blueberries,"14815 Longwoods Rd, Bothwell, ON N0P 1C0, Canada",14815,Longwoods Road,Bothwell,Chatham-Kent Division,Ontario,Canada,,42.5752068,-81.91016870000001
Brantwood Farm,"251 Powerline Rd, Brantford, ON N3P, Canada",251,Powerline Road,Brantford,,Ontario,Canada,N3P,43.1937487,-80.2325011
The Cider Keg,"1398 Vittoria Rd, Saint Williams, ON N0E 1P0, Canada",1398,Vittoria Road,Saint Williams,Norfolk County,Ontario,Canada,,42.7531432,-80.3456787
Pingle's Farm Market,"1805 Taunton Rd, Hampton, ON L0B 1J0, Canada",1805,Taunton Road,Hampton,Durham Regional Municipality,Ontario,Canada,,43.9532645,-78.79014509999999
Proulx Sugarbush & Berry Farm,"1865 O'Toole Rd, Cumberland, ON K4C 1N2, Canada",1865,O'Toole Road,Ottawa,Ottawa Division,Ontario,Canada,,45.4846918,-75.4208514
Puddicombe Farms,"1468 Hamilton Regional Rd 8, Stoney Creek, ON L8E 5K9, Canada",1468,Highway 8,Hamilton,Hamilton Division,Ontario,Canada,,43.2059009,-79.63249189999999
McCully's Hill Farm Market,"4074 Line 9, St. Marys, ON N4X 1C5, Canada",4074,Line 9,Saint Marys,Perth County,Ontario,Canada,,43.273588,-81.0595116
Silver Creek Nursery,"2343 Gerber Rd, Wellesley, ON N0B 2T0, Canada",2343,Gerber Road,Wellesley,Waterloo Regional Municipality,Ontario,Canada,,43.4691693,-80.7788167
Comolea Farms,"115026 Sideroad 27 & 28, Grand Valley, ON L0N 1G0, Canada",115026,Sideroad 27 & 28,Grand Valley,Dufferin County,Ontario,Canada,,43.9858738,-80.3604561
Richmond Nursery Berry Farm,"5740 Old Richmond Rd, Richmond, ON K0A 2Z0, Canada",5740,Old Richmond Road,Ottawa,Ottawa Division,Ontario,Canada,,45.260397,-75.8192174
Pine Farms Orchard,"2700 16th Sideroad, King City, ON L7B 1A3, Canada",2700,16th Sideroad,King City,York Regional Municipality,Ontario,Canada,,43.9615496,-79.55309629999999
Valley Farm Market,"2457 County Rd 92, Elmvale, ON L0L 1P0, Canada",2457,County Road 92,Elmvale,Simcoe County,Ontario,Canada,,44.5492085,-79.9440125
Saunders Farm,"7893 Bleeks Rd, Ottawa, ON, Canada",7893,Bleeks Road,Ottawa,Ottawa Division,Ontario,Canada,,45.1619807,-75.948298
"""R"" Farm","3388 Concession Rd 3, Newcastle, ON L1B 1L9, Canada",3388,Concession Road 3,Newcastle,Durham Regional Municipality,Ontario,Canada,,43.9322097,-78.6105037
Cricklewood Farm,"27 Grandview Rd, Brighton, ON K0K, Canada",27,Grandview Road,Brighton,Northumberland County,Ontario,Canada,K0K,44.0311527,-77.7751333
Twinkle Berry Farms,"Main St N, Uxbridge, ON, Canada",,Main Street North,Uxbridge,,Ontario,Canada,,44.1177557,-79.12417959999999
Koteles Farms Limited,"164700 New Rd, Tillsonburg, ON N4G 4G7, Canada",164700,New Road,Tillsonburg,Oxford County,Ontario,Canada,,42.8847752,-80.70226129999999
Smith's Apples & Farm Market,"470 The River Rd, Port Elgin, ON N0H 2C7, Canada",470,The River Road,Saugeen Shores,Bruce County,Ontario,Canada,,44.4040936,-81.3492349
Wilmot Orchards Inc.,"3337 Concession Rd 3, Newcastle, ON L1B 1L9, Canada",3337,Concession Road 3,Newcastle,Durham Regional Municipality,Ontario,Canada,,43.9304414,-78.61514249999999
Strom's Farm & Bakery Inc.,"5089 Wellington County Rd 32, Guelph, ON N1H 6J4, Canada",5089,Wellington County Road 32,Guelph,Wellington County,Ontario,Canada,,43.4971933,-80.2934197
Stroud Farms,"4075 Lake Ridge Rd, Whitby, ON L0B, Canada",4075,Lake Ridge Road,Whitby,Durham Regional Municipality,Ontario,Canada,L0B,43.9243694,-79.0094065
Bowman's Berry Patch,"211259 Garden Rd, Hilliardton, ON P0J 1L0, Canada",211259,Garden Road,Hilliardton,Timiskaming District,Ontario,Canada,,47.6910417,-79.7382482
Acorn Creek Garden Farm & Market,"928 Oak Creek Rd, Carp, ON K0A 1L0, Canada",928,Oak Creek Road,Ottawa,Ottawa Division,Ontario,Canada,,45.3147265,-75.9752333
Waterhall Farm,"1413 Brock Rd, Dundas, ON L9H 5E4, Canada",1413,Brock Road,Hamilton,Hamilton Division,Ontario,Canada,,43.365405,-80.0286911
Thiessen Farms,"Jordan Station, ON, Canada",,,Lincoln,Niagara Regional Municipality,Ontario,Canada,,43.1617293,-79.3601336
Tiveron Farms Ltd./ The Apple Market,"2281 Camilla Rd, Mississauga, ON L5A 2K2, Canada",2281,Camilla Road,Mississauga,Peel Regional Municipality,Ontario,Canada,,43.577663,-79.6027906
Nicholyn Farms,"3088 Horseshoe Valley Rd W, Barrie, ON L4M 4Y8, Canada",3088,Horseshoe Valley Road West,Barrie,Simcoe County,Ontario,Canada,,44.5265835,-79.73277089999999
Algoma Orchards Ltd.,"201 Durham Regional Rd 42, Clarington, ON L1B 1L9, Canada",201,Durham Regional Road 42,,Durham Regional Municipality,Ontario,Canada,,43.91346679999999,-78.62650699999999
Murphy's Country Produce,"2040 Guyatt Rd, Binbrook, ON L0R 1C0, Canada",2040,Guyatt Road,Hamilton,Hamilton Division,Ontario,Canada,,43.133861,-79.7760945
Watson Farms Ltd.,"2287 Durham Regional Hwy 2, Bowmanville, ON L1C 3K7, Canada",2287,Durham Regional Highway 2,Bowmanville,Durham Regional Municipality,Ontario,Canada,,43.9099736,-78.7196639
Empire Valley Farm Market,"27983 Talbot Line, Wallacetown, ON N0L 2M0, Canada",27983,Talbot Line,Wallacetown,Elgin County,Ontario,Canada,,42.60715649999999,-81.49981749999999
Whittamore's Farm,"8100 Steeles Ave E, Markham, ON L6B 1A8, Canada",8100,Steeles Avenue East,Markham,York Regional Municipality,Ontario,Canada,,43.8533727,-79.1811008
Whitty Farms,"1776 Fourth Ave, St. Catharines, ON L2R 6P9, Canada",1776,Fourth Avenue,Saint Catharines,Niagara Regional Municipality,Ontario,Canada,,43.1530734,-79.3134165
Willis Family Fruit Farm,"6063 5 Line, Milton, ON L9T 2X8, Canada",6063,5 Line,Milton,Halton Regional Municipality,Ontario,Canada,,43.5205072,-79.8029674
Spirit Tree Estate Cidery,"1137 Boston Mills Rd, Terra Cotta, ON L7C 0N1, Canada",1137,Boston Mills Road,Caledon,Peel Regional Municipality,Ontario,Canada,,43.7569092,-79.944801
Zekveld's Garden Market,"4622 London Line, Wyoming, ON N0N 1T0, Canada",4622,London Line,Plympton-Wyoming,Lambton County,Ontario,Canada,,42.9796836,-82.1131657
Jack's Produce,"35 Agincourt Crescent, St. Catharines, ON L2S 4B4, Canada",35,Agincourt Crescent,Saint Catharines,Niagara Regional Municipality,Ontario,Canada,,43.1353082,-79.2650652
Sahota Farms,"14392 Torbram Rd, Kleinburg, ON L0J, Canada",14392,Torbram Road,Caledon,Peel Regional Municipality,Ontario,Canada,L0J,43.8298768,-79.83650949999999
Korny Korners Farm,"6193 Blackwell Side Rd, Sarnia, ON N7X, Canada",6193,Blackwell Side Road,Sarnia,Lambton County,Ontario,Canada,N7X,43.007139,-82.32050459999999
Elfsong Apiaries,"Tweed, ON K0K, Canada",,,Tweed,Hastings County,Ontario,Canada,K0K,44.474728,-77.310249
Strawberry Tyme Farms Inc.,"Simcoe, ON, Canada",,,Simcoe,Norfolk County,Ontario,Canada,,42.8372632,-80.3040424
Meier Family Organic Farm,"191 River Rd, Welland, ON L3B 5N8, Canada",191,River Road,Welland,Niagara Regional Municipality,Ontario,Canada,,42.969934,-79.30226730000001
Elberta Farms,"353 Governors Rd E, Paris, ON N3L 3E1, Canada",353,Governors Road East,Brant,Brant County,Ontario,Canada,,43.2044754,-80.2838687
Bry-Anne Farms,"471 Foss Rd, Fenwick, ON L0S 1C0, Canada",471,Foss Road,Pelham,Niagara Regional Municipality,Ontario,Canada,,43.0155972,-79.3291107
Wagon Wheel Produce & Corn Maze,"1371 Charlotteville 7 Rd, Simcoe, ON N3Y 4K1, Canada",1371,Charlotteville 7 Road,Simcoe,Norfolk County,Ontario,Canada,,42.7889332,-80.3637597
Great Lakes Farms,"5111 Union Rd, Port Stanley, ON N5L 1J2, Canada",5111,Union Road,Port Stanley,Elgin County,Ontario,Canada,,42.6924855,-81.2332634
McMaze,"17049 Willy Allan Rd, St Andrews West, ON K0C 2A0, Canada",17049,Willy Allan Road,Saint Andrews West,"Stormont, Dundas and Glengarry United Counties",Ontario,Canada,,45.1267735,-74.88575019999999
Crinklaw Maple Products,"4570 Westminster Dr, London, ON N6L 1M9, Canada",4570,Westminster Drive,London,Middlesex County,Ontario,Canada,,42.8972521,-81.26299499999999
Neubrand Country Produce,"6584 49 Line, Monkton, ON N0K 1P0, Canada",6584,49 Line,,Perth County,Ontario,Canada,,43.5858782,-81.15537139999999
Cooper's CSA Farm & Maze,"266 Ashworth Rd, Zephyr, ON L0E 1T0, Canada",266,Ashworth Road,Zephyr,Durham Regional Municipality,Ontario,Canada,,44.1475422,-79.2518384
Farintosh Farms,"11858 Warden Ave, Gormley, ON L0H 1G0, Canada",11858,Warden Avenue,Gormley,York Regional Municipality,Ontario,Canada,,43.93668599999999,-79.3565713
Josmar Acres,"568 Lynden Rd, Brantford, ON N3T 5M1, Canada",568,Lynden Road,Brantford,Brant County,Ontario,Canada,,43.1910979,-80.17163959999999
Giffen's Country Market,"55 Station St, Glen Huron, ON L0M 1L0, Canada",55,Station Street,Glen Huron,Simcoe County,Ontario,Canada,,44.352717,-80.17123099999999
Barbetta Orchards Ltd.,"Meaford, ON, Canada",,,Meaford,Grey County,Ontario,Canada,,44.6059438,-80.5936871
Avonmore Berry Farm Inc.,"16365 4 Rd, Avonmore, ON K0C 1C0, Canada",16365,4 Road,Avonmore,"Stormont, Dundas and Glengarry United Counties",Ontario,Canada,,45.1906824,-74.9801289
Stanleys Olde Maple Lane Farm,"2452 York's Corners Rd, Edwards, ON K0A 1V0, Canada",2452,York's Corners Road,Edwards,Ottawa Division,Ontario,Canada,,45.28192629999999,-75.4438012
Your Farm Market (YFM),"1147 Dundas St, Woodstock, ON N4S 8W3, Canada",1147,Dundas Street,Woodstock,Oxford County,Ontario,Canada,,43.1356898,-80.7237359
Richardson's Corn Maze & Farm Market,"131 River Rd, Dunnville, ON N1A 2W3, Canada",131,River Road,,Haldimand County,Ontario,Canada,,42.9180538,-79.7044705
Wheelbarrow Orchards/Harvest Goodies,"8277 10 Side Rd, Milton, ON L9T 2X9, Canada",8277,10 Side Road,Milton,Halton Regional Municipality,Ontario,Canada,,43.5630085,-79.9453992
Mapleton's Organic Dairy Inc.,"8548 Wellington Road 7, Moorefield, ON N0G 2K0, Canada",8548,Wellington Road 7,Moorefield,Wellington County,Ontario,Canada,,43.8240282,-80.7375086
Hudson's Sweet Corn/Panmure Farms,"2831 Upper Dwyer Hill Rd, Kinburn, ON K0A 2H0, Canada",2831,Upper Dwyer Hill Road,Kinburn,Ottawa Division,Ontario,Canada,,45.3169044,-76.20527810000002
Bill's Turkey Farm,"2978 Holborn Rd, Queensville, ON L0G 1R0, Canada",2978,Holborn Road,East Gwillimbury,York Regional Municipality,Ontario,Canada,,44.1695014,-79.407562
Jardin Rochon Garden,"1101 York's Corners Rd, Edwards, ON K0A 1V0, Canada",1101,York's Corners Road,Edwards,Ottawa Division,Ontario,Canada,,45.321304,-75.464271
White Meadows Farms,"2519 Effingham St, Ridgeville, ON L0S 1M0, Canada",2519,Effingham Street,Pelham,Niagara Regional Municipality,Ontario,Canada,,43.0907103,-79.31242429999999
Meadow Sweet Farm,"12102 Warden Ave, Gormley, ON L0H 1G0, Canada",12102,Warden Avenue,Gormley,York Regional Municipality,Ontario,Canada,,43.9433391,-79.3559903
Clovermead Bees & Honey,"Aylmer, ON, Canada",,,Aylmer,Elgin County,Ontario,Canada,,42.7729381,-80.9828842
Shantz Family Farm,"1544 Bleams Rd, Wilmot, ON N0B, Canada",1544,Bleams Road,,Waterloo Regional Municipality,Ontario,Canada,N0B,43.3944304,-80.56942339999999
Rounds Ranch,"1922 County Rd 92, Elmvale, ON L0L 1P0, Canada",1922,County Road 92,Elmvale,Simcoe County,Ontario,Canada,,44.5541924,-79.93315799999999
Waddell Apples,"1345 Washburn Rd, Kingston, ON K0H, Canada",1345,Washburn Road,Kingston,Frontenac County,Ontario,Canada,K0H,44.3872995,-76.32453220000001
Lennox Farm,"County Rd 124, Shelburne, ON L0N 1S6, Canada",,County Road 124,Shelburne,Simcoe County,Ontario,Canada,,44.361886,-80.2119974
Everdale Organic Farm & Environmental Learning Centre,"5812 6 Line, Hillsburgh, ON N0B 1Z0, Canada",5812,6 Line,Erin,Wellington County,Ontario,Canada,,43.7745966,-80.146349
Homestead Orchards,"3961 Old Homestead Rd, Georgina, ON L0E, Canada",3961,Old Homestead Road,Georgina,York Regional Municipality,Ontario,Canada,L0E,44.2649701,-79.3979945
Goats in Motion,"1988 Hwy 5 W, Troy, ON L0R 2B0, Canada",1988,Highway 5 West,Hamilton,Hamilton Division,Ontario,Canada,,43.2677142,-80.1430572
Sunnivue Farm Inc.,"27093 New Ontario Rd, Ailsa Craig, ON N0M 1A0, Canada",27093,New Ontario Road,Ailsa Craig,Middlesex County,Ontario,Canada,,43.1320059,-81.5524667
Warner's Farm,"4045 John St, Beamsville, ON L0R 1B1, Canada",4045,John Street,Lincoln,Niagara Regional Municipality,Ontario,Canada,,43.1730954,-79.42714099999999
Red Cat Farm,"82560 Bluewater Hwy, Goderich, ON N7A 3Y3, Canada",82560,Bluewater Highway,Goderich,Huron County,Ontario,Canada,,43.8053335,-81.6995657
Shouldice Berry Farm & Market,"Ottawa, ON, Canada",,,Ottawa,Ottawa Division,Ontario,Canada,,45.4215296,-75.69719309999999
Integrated Farms,"5091 10 Line N, Coldwater, ON L0K 1E0, Canada",5091,10 Line North,Coldwater,Simcoe County,Ontario,Canada,,44.6643054,-79.6307405
Fulton's Pancake House & Sugar Bush,"399 Sugar Bush Rd, Pakenham, ON K0A 2X0, Canada",399,Sugar Bush Road,Pakenham,Lanark County,Ontario,Canada,,45.24623589999999,-76.2968801
From the Meadow,"Avon Dr, Belmont, ON N0L 1B0, Canada",,Avon Drive,Belmont,Elgin County,Ontario,Canada,,42.8907616,-81.04372490000002
Peart's Strawberry Farm,"3545 River Rd, Caledonia, ON N3W 2E6, Canada",3545,River Road,Caledonia,Haldimand County,Ontario,Canada,,43.01760790000001,-79.8974558
McLean Berry Farm,"2191 16 Line, Harcourt, ON K0L, Canada",2191,16 Line,Harcourt,Peterborough County,Ontario,Canada,K0L,44.5211676,-78.30991
Grassroots CSA,"736 Bruce County Rd 86, Lucknow, ON N0G 2H0, Canada",736,Bruce County Road 86,Lucknow,,Ontario,Canada,,43.9627303,-81.5197209
Harris Farms,"3216 George Johnston Rd, Barrie, ON L4M 4S4, Canada",3216,George Johnston Road,Barrie,Simcoe County,Ontario,Canada,,44.382363,-79.790364
Sovereign Farms,"130 Lutesville Rd, Waterford, ON N0E 1Y0, Canada",130,Lutesville Road,Waterford,Norfolk County,Ontario,Canada,,42.976428,-80.29335669999999
Staite's Honey Enterprise,"Ashworth Rd, Zephyr, ON L0E 1T0, Canada",,Ashworth Road,Zephyr,Durham Regional Municipality,Ontario,Canada,,44.1544315,-79.2118619
Daniel's Farm,"73 Stephen Dr, Etobicoke, ON M8Y 3M8, Canada",73,Stephen Drive,Toronto,Toronto Division,Ontario,Canada,,43.6339789,-79.4855764
Strawberry Creek Farms,"118 Crittenden Dr, Keswick, ON L4P 4E7, Canada",118,Crittenden Drive,Georgina,York Regional Municipality,Ontario,Canada,,44.1977766,-79.4590388
Berry Hill Fruit Farm,"48937 Glencolin Line, Aylmer, ON N5H 2R6, Canada",48937,Glencolin Line,Aylmer,Elgin County,Ontario,Canada,,42.7917635,-80.9949515
Stonehaven Farm Market,"7388 Guelph Line, Milton, ON L0P, Canada",7388,Guelph Line,Milton,Halton Regional Municipality,Ontario,Canada,L0P,43.4580966,-79.9412755
Mountainoak Cheese Ltd.,"3165 Huron Rd, New Hamburg, ON N3A 3C3, Canada",3165,Huron Road,New Hamburg,Waterloo Regional Municipality,Ontario,Canada,,43.3553813,-80.6430306
The Farm-acy,"148 Concession Rd 6 E, Millgrove, ON L0R 1V0, Canada",148,Concession Road 6 East,Hamilton,Hamilton Division,Ontario,Canada,,43.35198450000001,-79.9461405
Jennen Family Farm Market,"11775 Base Line, Thamesville, ON N0P 2K0, Canada",11775,Base Line,Thamesville,Chatham-Kent Division,Ontario,Canada,,42.5710019,-82.09113570000001
Martin's Family Fruit Farm Ltd.,"1420 Lobsinger Line, Waterloo, ON N2J 4G8, Canada",1420,Lobsinger Line,Waterloo,Waterloo Regional Municipality,Ontario,Canada,,43.514875,-80.56921299999999
Fraberts Fresh Food,"105 Queen St W #3, Fergus, ON N1M 1T7, Canada",105,Queen Street West,Fergus,Wellington County,Ontario,Canada,,43.7047071,-80.3769987
Hewitt's Sweet Corn,"3331 Town Line, Coldwater, ON L0K 1E0, Canada",3331,Town Line,Coldwater,Simcoe County,Ontario,Canada,,44.646786,-79.5338453
Linton's Farm Market,"571 Raglan Rd E, Oshawa, ON L1H 7K4, Canada",571,Raglan Road East,Oshawa,Durham Regional Municipality,Ontario,Canada,,44.0202553,-78.8998112
Murphy's Farm Market and Bakery,"5163 County Rd 10, Alliston, ON L9R 1V2, Canada",5163,County Road 10,,Simcoe County,Ontario,Canada,,44.1738194,-79.8321307
Wholesome Pickins,"472 Church St E, Delhi, ON N4B 1V3, Canada",472,Church Street East,Delhi,Norfolk County,Ontario,Canada,,42.8563544,-80.4750562
Godelie Family Farm,"225754 Otterville Rd, Otterville, ON N0J 1R0, Canada",225754,Otterville Road,Otterville,Oxford County,Ontario,Canada,,42.9298518,-80.58051689999999
Carl Fletcher,"3 Applegate Ln, St. Thomas, ON N5P 3S8, Canada",3,Applegate Lane,Saint Thomas,Elgin County,Ontario,Canada,,42.73545740000001,-81.1968375
Tincap Berry Farm,"4035 County Rd 29, Elizabethtown-Kitley, ON K6T, Canada",4035,County Road 29,,Leeds and Grenville United Counties,Ontario,Canada,K6T,44.6208166,-75.7642953
Snyders Family Farm Ltd.,"936685 Blenheim Rd, Bright, ON N0J 1B0, Canada",936685,Blenheim Road,Bright,Oxford County,Ontario,Canada,,43.3163066,-80.53765
DeVries Fruit Farm,"825 Canboro Rd, Fenwick, ON L0S 1C0, Canada",825,Canboro Road,Pelham,Niagara Regional Municipality,Ontario,Canada,,43.0241935,-79.365028
Kilmarnock Orchard,"1182 Kilmarnock Rd, Jasper, ON K0G 1G0, Canada",1182,Kilmarnock Road,Jasper,Leeds and Grenville United Counties,Ontario,Canada,,44.878507,-75.93154009999999
Cherrylane,"4230 Victoria Ave, Vineland Station, ON L0R 2E0, Canada",4230,Victoria Avenue,Lincoln,Niagara Regional Municipality,Ontario,Canada,,43.160087,-79.3933686
R Family Farm,"3560 3 Line, Cookstown, ON L0L 1L0, Canada",3560,3 Line,Innisfil,Simcoe County,Ontario,Canada,,44.2236042,-79.6676679
Howe Family Farm Market,"7841 Rogers Rd, Aylmer, ON N5H 2R4, Canada",7841,Rogers Road,Aylmer,Elgin County,Ontario,Canada,,42.7395504,-81.00903559999999
Traynor Beef Farms,"2193 County Rd 2, Peterborough, ON K9J 6X9, Canada",2193,County Road 2,Peterborough,Peterborough County,Ontario,Canada,,44.2188512,-78.2563274
Potters Road Berries,"145476 Potters Rd, Tillsonburg, ON N4G 4G7, Canada",145476,Potters Road,Tillsonburg,Oxford County,Ontario,Canada,,42.8847181,-80.6024891
River Road Farms,"652 River Rd, Lindsay, ON K9V 4R4, Canada",652,River Road,Lindsay,Kawartha Lakes Division,Ontario,Canada,,44.281001,-78.73714059999999
Bauman Apiaries,"6927 Nicklin St, Millbank, ON N0K 1L0, Canada",6927,Nicklin Street,Millbank,Perth County,Ontario,Canada,,43.5633568,-80.835668
Burrow/Kosir Farm,"6325 5th Line, Fergus, ON N1M 2W5, Canada",6325,5th Line,Fergus,Wellington County,Ontario,Canada,,43.722882,-80.2914696
SamGra Acres,"Ontario, Canada",,,,,Ontario,Canada,,51.253775,-85.3232139
Oakridge Acres Country Meat Store,"2132 Greenfield Rd, Ayr, ON N0B 1E0, Canada",2132,Greenfield Road,Ayr,Waterloo Regional Municipality,Ontario,Canada,,43.3092696,-80.41655779999999
Leaping Deer Adventure Farm & Market,"544212 Clarke Rd, Ingersoll, ON N5C 3J8, Canada",544212,Clarke Road,Ingersoll,Oxford County,Ontario,Canada,,43.0513754,-80.8312053
West Moira Orchards/McCaw Farms,"537 Moira St W, Belleville, ON K8N 4Z2, Canada",537,Moira Street West,Belleville,Hastings County,Ontario,Canada,,44.16592199999999,-77.418058
Organics Family Farm,"7550 19th Ave, Markham, ON L6B 1A8, Canada",7550,19th Avenue,Markham,York Regional Municipality,Ontario,Canada,,43.9579612,-79.22479369999999
Fields on West Lake,"15786 Loyalist Pkwy, Bloomfield, ON K0K 1G0, Canada",15786,Loyalist Parkway,Prince Edward,Prince Edward County,Ontario,Canada,,43.961195,-77.30583899999999
Fort Rose Maple Company,"27382 Coldstream Rd, Parkhill, ON N0M 2K0, Canada",27382,Coldstream Road,Parkhill,Middlesex County,Ontario,Canada,,43.1138196,-81.6312679
The Red Barn Fruit Farm,"8651 Townsend Line, Arkona, ON N0M 1B0, Canada",8651,Townsend Line,Lambton Shores,Lambton County,Ontario,Canada,,43.0709016,-81.8222689
